barcode,订单,在途库存,仓库
6926702223308,RD201812130027,1,0001
6926702223216,RD201812130029,4,0001
6926702223216,RD201812130032,1,0001
6926702223308,RD201812130032,3,0001
6923410753998,RD201812130042,13,0001
6922577723202,RD201812130066,1,0001
6920177922117,RD201812130078,118,0001
YJBOX000024,RD201812130085,1000,0001
YJBOX000010,RD201812130089,701,0001
YJBOX000011,RD201812130089,21,0001
1820BSCZ351M02,RD201812130090,5,0001
1820BSCZ351M05,RD201812130090,1,0001
1820BSCZ351W05,RD201812130090,1,0001
89078932,RD201812130099,124,0001
89078934,RD201812130099,2,0001
89079929,RD201812130099,6,0001
89079931,RD201812130099,58,0001
89079932,RD201812130099,2,0001
89079933,RD201812130099,3,0001
89079934,RD201812130099,1,0001
6907992507385,RD201812130049,2,0001
6907992507385,RD201812130051,8,0001
6907992507385,RD201812130052,1,0001
6907992507385,RD201812130053,8,0001
6907992507385,RD201812130055,1,0001
6907992507385,RD201812130057,3,0001
6907992510347,RD201812130048,125,0001
6907992512761,RD201812130059,3,0001
6971135300553,RD201812130110,14160,0001
6971135300553,RD201812130112,1,0001
6951606603390,RD201812130128,1,0001
B4554555,RD201812140003,1,0001
6914621228276,RD201812140007,5,0001
6914621228276,RD201812140008,5,0001
6930331859197,RD201812140011,2,0001
6936000902720,RD201812130124,50,0001
6971385890286,RD201812140027,5,0001
6971385890286,RD201812140028,19,0001
6971385890200,RD201812140031,6,0001
6971385890286,RD201812140031,6,0001
YJBOX000007,RD201812140033,20,0001
YJBOX000008,RD201812140033,90,0001
6923309868918,RD201812140037,882,0001
6923309868932,RD201812140037,24,0001
1820LFCZ352M02,RD201812140038,37,0001
1820LFCZ352M03,RD201812140038,53,0001
16926309211361,RD201812140042,1,0001
6907992512181,RD201812140051,114,0001
6907992514222,RD201812140052,2,0001
6907992513065,RD201812140053,2,0001
6970313751309,RD201812140057,8,0001
YJBOX000008,RD201812140081,40,0001
YJBOX000002,RD201812140082,30,0001
test001-4,RD201812140086,1,0001
6971385890231,RD201812140093,1,0001
6971385890231,RD201812140094,1,0001
6957929913321,RD201812140095,14,0001
6927854107881,RD201812140096,6,0001
6949602312880,RD201812140108,1506,0001
2018MYR188303001XXL,RD201812140109,15,0001
2018MYR188303002M,RD201812140109,1,0001
2018MYR188303002XXL,RD201812140109,15,0001
6971358450059,RD201812140112,1,0001
89078929,RD201812140138,1,0001
89078932,RD201812140138,37,0001
89079931,RD201812140138,4,0001
89079933,RD201812140138,2,0001
89079934,RD201812140138,61,0001
6971246193020,RD201812140140,140,0001
6923309868932,RD201812140154,360,0001
6901209214301,RD201812150007,54,0001
6956741704582,FO201812140005,5,0001
6957929913321,RD201812150020,192,0001
YJBOX000010,RD201812150024,1820,0001
YJBOX000022,RD201812150024,40,0001
YJBOX000035,RD201812150024,960,0001
st260001,RD201812150026,1,0001
wh273004,RD201812150028,1,0001
6914358366869,RD201812150035,1,0001
16926309211361,RD201812150036,51,0001
YJBOX000007,RD201812160002,207,0001
YJBOX000012,RD201812160002,60,0001
YJBOX000014,RD201812160002,380,0001
6970986857698,RD201812160003,100,0001
6970986857704,RD201812160003,25,0001
6970986857759,RD201812160003,17,0001
